total,percent_top5
3063,3
2315,40
2234,41
2073,38
1763,88
1444,4
1288,18
1238,6
1223,25
969,9
754,5
649,42
635,22
623,13
539,29
383,20
377,29
360,19
357,43
351,29
350,86
311,84
304,46
289,33
286,46
279,39
277,69
254,15
251,90
235,47
225,43
205,37
201,65
194,26
175,22
170,47
161,70
158,43
156,40
144,75
141,85
136,42
127,49
126,20
126,68
122,57
114,43
113,70
107,36
106,75
104,46
101,36
96,67
94,34
94,22
93,77
91,69
91,100
87,100
80,90
73,63
66,79
64,48
63,40
61,82
53,70
52,56
51,71
51,100
50,100
49,63
48,67
39,69
36,100
35,66
33,61
32,81
26,100
25,100
24,100
22,100
21,100
21,76
19,100
15,100
15,100
15,100
11,100
8,100
8,100
7,100
5,100
5,100
4,100
4,100
3,100
2,100
1,100
1,100
1,100
1,100
1,100
1,100
(103 rows)
